trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.5, 'e': 0.4038069876177639}",30,3,15.837992327000132,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.3977498828034975}",20,0,-24.758587365528072,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.391783634561445}",30,13,19.38360946882603,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.3859068800430233}",20,1,9.467473387177673,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.380118276842378}",20,0,-139.9320795045114,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.3744165026897423}",20,16,7.6581217007466,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.36880025514939613}",20,2,-36.7627558969259,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.3632682513221552}",25,11,-68.69234013236164,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.35781922755232287}",20,0,13.315895123279725,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.352451939139038}",20,9,10.345618788731233,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.34716516005195247}",20,0,-14.147107533593514,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.34195768265117316}",25,7,-13.336855387587557,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.33682831741140556}",20,0,4.899003733411314,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.33177589265023444}",20,0,-17.171452734999164,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.32679925426048095}",30,2,-32.27606709113141,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.3218972654465737}",25,9,-41.98755033213675,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.3170688064648751}",20,0,-2.235392985087131,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.312312774367902}",30,13,8.569567204683198,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.30762808275238346}",20,0,-25.461913229396337,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.3030136615110977}",25,6,-57.64103153445807,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.29846845658843124}",20,0,-69.47412290432672,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.29399142973960474}",30,18,22.11976745386329,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.2895815582935107}",20,10,-21.883908878631086,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.28523783491910804}",25,0,-49.674692793338934,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.2809592673953214}",30,0,-4.324345174243567,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.27674487838439155}",20,5,-26.251685731355856,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.2725937052086257}",20,8,18.890498277021702,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.2685047996304963}",20,11,-37.11672619471808,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.26447722763603887}",20,0,-46.40469235225837,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.2605100692214983}",25,18,10.823766799283325,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.2566024181831758}",25,3,-20.399832476639745,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
